,title,domestic_gross,foreign_gross,total_gross
395,Sanctum,23200000.0,85400000.0,108600000.0
396,Justin Bieber: Never Say Never,73000000.0,26000000.0,99000000.0
397,Paul,37400000.0,60600000.0,98000000.0
398,Scream 4,38200000.0,59000000.0,97200000.0
399,Insidious,54000000.0,43000000.0,97000000.0
400,The Rite,33000000.0,63000000.0,96000000.0
401,Dolphin Tale,72300000.0,23100000.0,95400000.0
402,Season of the Witch,24800000.0,66800000.0,91600000.0
403,Sucker Punch,36400000.0,53400000.0,89800000.0
404,Red Riding Hood,37700000.0,51500000.0,89200000.0
405,Spy Kids: All the Time in the World,38500000.0,47000000.0,85500000.0
406,J. Edgar,37300000.0,47600000.0,84900000.0
407,Hall Pass,45100000.0,38100000.0,83200000.0
408,"Big Mommas: Like Father, Like Son",37900000.0,44800000.0,82700000.0
409,Abduction,28100000.0,54000000.0,82100000.0
410,"Tinker, Tailor, Soldier, Spy",24100000.0,56500000.0,80600000.0
411,Priest,29100000.0,49200000.0,78300000.0
412,Drive (2011),35100000.0,41100000.0,76200000.0
413,The Mechanic,29100000.0,47000000.0,76100000.0
414,The Ides of March,41000000.0,35000000.0,76000000.0
415,The Change-Up,37100000.0,38400000.0,75500000.0
416,The Lincoln Lawyer,58000000.0,17000000.0,75000000.0
417,Diary of a Wimpy Kid: Rodrick Rules,52700000.0,19700000.0,72400000.0
418,Larry Crowne,35600000.0,36400000.0,72000000.0
419,The Dilemma,48500000.0,21200000.0,69700000.0
420,The Darkest Hour,21400000.0,43200000.0,64600000.0
421,Hanna,40300000.0,23500000.0,63800000.0
422,Footloose (2011),51800000.0,11700000.0,63500000.0
423,Elite Squad: The Enemy Within,100000.0,62900000.0,63000000.0
424,Colombiana,36700000.0,24300000.0,61000000.0
425,Something Borrowed,39000000.0,21100000.0,60100000.0
426,One Day,13800000.0,45500000.0,59300000.0
427,Beginning of the Great Revival,151000.0,58200000.0,58351000.0
428,Killer Elite,25100000.0,31300000.0,56400000.0
429,Extremely Loud & Incredibly Close,31800000.0,23400000.0,55200000.0
430,The Tree of Life,13300000.0,41000000.0,54300000.0
431,Tyler Perry's Madea's Big Happy Family,53300000.0,816000.0,54116000.0
432,Detective Dee and the Mystery of the Phantom Flame,460000.0,51300000.0,51760000.0
433,Winnie the Pooh,26700000.0,23200000.0,49900000.0
434,Conan the Barbarian (2011),21300000.0,27500000.0,48800000.0
435,Soul Surfer,43900000.0,3200000.0,47100000.0
436,War of the Arrows,251000.0,45800000.0,46051000.0
437,Arthur (2011),33000000.0,12700000.0,45700000.0
438,The Debt,31200000.0,14500000.0,45700000.0
439,Beastly,27900000.0,15300000.0,43200000.0
440,Of Gods and Men,4000000.0,38200000.0,42200000.0
441,Born to Be Wild (IMAX),25900000.0,15600000.0,41500000.0
442,Evangelion 2.0: You Can (Not) Advance,134000.0,41000000.0,41134000.0
443,Fright Night (2011),18300000.0,22700000.0,41000000.0
