,movie_id,averagerating,original_title,genres
436,tt7158582,7.4,The Reports on Sarah and Saleem,"Crime,Drama,Mystery"
437,tt7158686,5.1,No dormirás,"Horror,Mystery,Thriller"
438,tt7164084,6.9,Unintended,"Drama,Thriller"
439,tt7166214,6.8,Bobby,"Comedy,Romance"
440,tt7185492,3.7,Jian jun da ye,"Action,Drama,History"
441,tt7198146,8.0,We Are Throwers,Documentary
442,tt7205630,6.0,I Feel Good,"Comedy,Drama"
443,tt7208564,5.3,Blood Fest,"Comedy,Horror"
444,tt7211010,7.6,War Dog: A Soldier's Best Friend,Documentary
445,tt7217128,5.7,Bécassine!,"Adventure,Comedy,Family"
446,tt7223050,5.6,Kuang shou,"Action,Crime,Thriller"
447,tt7225716,4.0,Play This,Drama
448,tt7228676,4.1,How Funny,"Comedy,Drama"
449,tt7239688,7.3,Complicity,Drama
